"HLS80_500mBarN2"
"Start of Experiment";"User";"Cell No";"Label";"Operation Mode";"Cell Area [cm^2]"
2017-04-04 16:52:37;TF;52;Oct1143;1;0.3
"Measurement No";"Time";"Pmp [mW/cm^2]";"Vmp [mV]";"Jmp [mA/cm^2]";"Voc [mV]";"Jsc [mA/cm^2]";"FF";"Stability";"Temperature [°C]";"Illumination";"Humidity [%]"
88;01:20:00:09;4.463;171.6;26.005;615;40.759;0.178;0.82;82.966;5.774;0.208
89;01:20:30:09;4.288;162.12;26.45;612;40.656;0.172;0.788;82.972;5.774;0.211
90;01:21:00:10;2.868;163.8;17.508;593.143;33.923;0.143;0.527;82.975;5.773;0.212
91;01:21:30:10;4.205;165;25.486;630;40.656;0.164;0.773;82.971;5.77;0.205
92;01:22:00:10;3.07;141.24;21.734;604;38.458;0.132;0.564;82.966;5.773;0.202
93;01:22:30:10;4.149;158.52;26.176;617.143;40.515;0.166;0.762;82.97;5.773;0.206
94;01:23:00:10;4.03;157.32;25.616;611.077;40.454;0.163;0.741;83.105;5.77;0.202
95;01:23:30:10;4.269;165.36;25.816;600;40.649;0.175;0.784;83.044;5.774;0.21
96;02:00:00:10;4.311;166.32;25.92;620;40.704;0.171;0.792;82.965;5.771;0.213
97;02:00:30:10;4.315;164.64;26.206;642;40.723;0.165;0.793;82.962;5.769;0.214
98;02:01:00:10;4.314;161.28;26.75;599.52;40.668;0.177;0.793;82.889;5.773;0.212
99;02:01:30:10;4.311;165.96;25.975;616.615;40.656;0.172;0.792;83.012;5.769;0.21
100;02:02:00:11;4.308;161.52;26.67;598.857;40.662;0.177;0.792;83.07;5.771;0.213
101;02:02:30:11;4.316;166.2;25.966;602;40.576;0.177;0.793;82.963;5.772;0.209
102;02:03:00:11;4.295;163.92;26.202;611.077;40.613;0.173;0.789;82.964;5.773;0.212
103;02:03:30:11;4.313;161.52;26.704;628;40.601;0.169;0.793;83.125;5.771;0.212
104;02:04:00:11;4.287;162;26.465;614.526;40.649;0.172;0.788;82.965;5.77;0.211
105;02:04:30:11;4.294;163.92;26.196;597.6;40.594;0.177;0.789;83.017;5.771;0.21
106;02:05:00:11;4.277;162.48;26.324;609;40.607;0.173;0.786;82.985;5.773;0.212
107;02:05:30:11;4.292;161.88;26.512;628.5;40.649;0.168;0.789;82.979;5.771;0.21
108;02:06:00:11;4.271;164.28;25.999;608.25;40.656;0.173;0.785;82.972;5.772;0.21
109;02:06:30:12;4.284;164.04;26.115;609.333;40.68;0.173;0.787;82.964;5.771;0.211
110;02:07:00:12;4.273;162;26.378;612.706;40.57;0.172;0.785;82.964;5.773;0.211
111;02:07:30:12;4.272;164.4;25.983;616;40.643;0.171;0.785;82.962;5.774;0.212
112;02:08:00:12;4.279;163.56;26.159;569.143;40.607;0.185;0.786;83.062;5.773;0.209
113;02:08:30:12;4.276;161.28;26.511;603.429;40.588;0.175;0.786;82.916;5.77;0.21
114;02:09:00:12;4.257;164.52;25.877;612;40.607;0.171;0.782;82.921;5.772;0.212
115;02:09:30:12;4.152;160.32;25.896;598.5;40.479;0.171;0.763;82.871;5.773;0.208
116;02:10:00:12;4.24;161.64;26.23;585.333;40.643;0.178;0.779;82.963;5.772;0.212
117;02:10:30:13;4.242;163.44;25.954;625.263;40.558;0.167;0.779;82.962;5.772;0.211
118;02:11:00:13;4.244;162.96;26.044;624;40.607;0.167;0.78;82.969;5.772;0.212
119;02:11:30:13;4.24;162.6;26.076;597.143;40.625;0.175;0.779;83.027;5.771;0.212
120;02:12:00:13;4.25;162.6;26.138;627.429;40.601;0.167;0.781;82.968;5.77;0.208
121;02:12:30:13;4.245;164.28;25.843;612;40.515;0.171;0.78;82.908;5.774;0.213
122;02:13:00:12;4.244;162;26.198;640;40.607;0.163;0.78;82.92;5.774;0.211
123;02:13:30:13;4.236;159.72;26.52;596.571;40.57;0.175;0.778;82.984;5.771;0.211
124;02:14:00:13;4.228;160.56;26.331;614.667;40.613;0.169;0.777;82.963;5.776;0.209
125;02:14:30:13;4.234;164.4;25.755;610.154;40.564;0.171;0.778;82.967;5.773;0.211
126;02:15:00:14;4.236;159.36;26.584;608.25;40.564;0.172;0.778;82.959;5.774;0.209
127;02:15:30:14;4.224;163.56;25.827;600;40.552;0.174;0.776;82.992;5.774;0.21
128;02:16:00:14;4.218;162.24;26.001;613.5;40.582;0.169;0.775;82.962;5.774;0.209
129;02:16:30:14;4.224;162.48;25.998;607.2;40.564;0.171;0.776;82.991;5.776;0.209
130;02:17:00:14;4.211;164.64;25.579;626.182;40.576;0.166;0.774;82.967;5.773;0.21
131;02:17:30:14;4.21;161.28;26.102;609;40.558;0.17;0.774;82.967;5.775;0.209
132;02:18:00:14;4.209;160.2;26.272;622.154;40.564;0.167;0.773;82.961;5.773;0.211
133;02:18:30:14;4.197;160.92;26.083;598.4;40.576;0.173;0.771;82.992;5.775;0.208
134;02:19:00:14;4.176;160.44;26.029;540;40.491;0.191;0.767;82.999;5.773;0.209
135;02:19:30:14;4.173;162.12;25.743;666;40.527;0.155;0.767;82.927;5.775;0.209
136;02:20:00:14;4.168;162.96;25.576;637.846;40.479;0.161;0.766;83.047;5.771;0.209
137;02:20:30:15;4.169;159.48;26.143;563.636;40.54;0.182;0.766;83.006;5.771;0.21
138;02:21:00:15;4.166;159.36;26.145;624.545;40.546;0.165;0.766;82.96;5.774;0.209
139;02:21:30:14;4.156;159.72;26.02;599;40.405;0.172;0.764;82.952;5.773;0.21
140;02:22:00:16;4.16;159.48;26.085;564;40.448;0.182;0.764;82.973;5.769;0.209
141;02:22:30:16;4.151;158.4;26.206;-2197264846.197;40.533;0;0.763;82.97;5.769;0.21
142;02:23:00:16;4.138;159.6;25.928;618.857;40.454;0.165;0.76;82.973;5.765;0.209
143;02:23:30:16;4.129;158.88;25.99;576;40.503;0.177;0.759;82.924;5.768;0.208
144;03:00:00:16;4.119;158.28;26.025;597.6;40.417;0.171;0.757;82.893;5.766;0.209
145;03:00:30:16;4.111;160.08;25.681;616.8;40.405;0.165;0.755;83.034;5.766;0.213
146;03:01:00:16;4.106;159.48;25.747;604.8;40.43;0.168;0.755;83.074;5.769;0.216
147;03:01:30:16;4.109;159.84;25.707;603;40.375;0.169;0.755;82.924;5.765;0.215
148;03:02:00:16;4.091;157.8;25.926;598.737;40.387;0.169;0.752;82.964;5.767;0.216
149;03:02:30:16;4.102;158.4;25.896;627.429;40.43;0.162;0.754;83.041;5.77;0.218
150;03:03:00:16;4.091;159.36;25.674;618.857;40.369;0.164;0.752;82.985;5.766;0.216
151;03:03:30:17;4.108;159.12;25.817;618;40.369;0.165;0.755;83.03;5.765;0.215
152;03:04:00:17;4.105;157.68;26.031;642;40.405;0.158;0.754;82.956;5.766;0.212
153;03:04:30:17;4.095;159;25.757;622.5;40.411;0.163;0.752;82.966;5.77;0.213
154;03:05:00:17;4.088;157.32;25.984;618;40.411;0.164;0.751;83.031;5.769;0.212
155;03:05:30:17;4.077;158.64;25.698;595.636;40.381;0.17;0.749;82.966;5.766;0.212
156;03:06:00:17;4.099;158.28;25.895;624;40.338;0.163;0.753;82.968;5.768;0.217
157;03:06:30:17;4.084;158.28;25.802;+unendlich;40.436;0;0.75;82.968;5.768;0.212
158;03:07:00:17;4.087;157.2;25.999;610;40.363;0.166;0.751;82.964;5.77;0.212
159;03:07:30:17;4.08;157.44;25.918;622.5;40.43;0.162;0.75;83.028;5.77;0.213
160;03:08:00:18;4.078;157.56;25.88;624;40.448;0.162;0.749;82.962;5.773;0.212
161;03:08:30:18;4.083;157.32;25.956;612;40.295;0.166;0.75;82.97;5.772;0.213
162;03:09:00:18;4.085;158.28;25.808;600;40.417;0.168;0.751;82.97;5.773;0.213
163;03:09:30:18;4.073;157.2;25.908;616.8;40.436;0.163;0.748;82.963;5.774;0.216
164;03:10:00:18;4.087;158.88;25.724;628.5;40.399;0.161;0.751;83.068;5.772;0.214
165;03:10:30:18;4.074;158.4;25.721;612;40.424;0.165;0.749;82.972;5.771;0.214
166;03:11:00:18;4.081;156.96;26.001;585.333;40.448;0.172;0.75;83.044;5.771;0.213
167;03:11:30:19;4.087;157.68;25.921;640;40.448;0.158;0.751;82.962;5.77;0.214
168;03:12:00:19;4.066;158.04;25.73;622;40.405;0.162;0.747;82.961;5.771;0.216
169;03:12:30:19;4.068;157.32;25.858;615;40.405;0.164;0.748;82.949;5.773;0.213
170;03:13:00:19;4.054;158.88;25.513;615;40.381;0.163;0.745;82.847;5.773;0.216
171;03:13:30:19;4.055;157.08;25.812;608;40.399;0.165;0.745;83.013;5.77;0.213
172;03:14:00:19;4.046;157.56;25.679;636;40.43;0.157;0.743;83.114;5.773;0.214
173;03:14:30:19;3.77;148.68;25.36;625.333;40.057;0.151;0.693;82.963;5.773;0.205
174;03:15:00:19;3.716;150.36;24.714;622.909;39.948;0.149;0.683;82.885;5.775;0.207
175;03:15:30:20;3.691;151.44;24.37;646;39.966;0.143;0.678;83.01;5.775;0.209
176;03:16:00:20;4.059;159.36;25.472;588;40.369;0.171;0.746;82.923;5.775;0.218
177;03:16:30:20;4.464;174.24;25.619;627.429;40.686;0.175;0.82;82.945;5.773;0.223
178;03:17:00:20;3.807;150.84;25.237;8789063311.585;40.094;0;0.7;82.966;5.777;0.21
179;03:17:30:20;3.725;147.96;25.174;619.2;39.978;0.15;0.684;82.844;5.774;0.209
180;03:18:00:20;3.699;147.36;25.103;618;39.978;0.15;0.68;82.963;5.772;0.211
181;03:18:30:20;3.685;147.24;25.028;564;39.948;0.164;0.677;82.971;5.773;0.208
182;03:19:00:21;3.676;147.36;24.943;575.368;39.929;0.16;0.675;82.968;5.774;0.207
183;03:19:30:21;3.66;146.64;24.962;620.571;39.941;0.148;0.673;82.96;5.774;0.206
184;03:20:00:21;3.65;148.56;24.57;628;39.923;0.146;0.671;82.916;5.772;0.208
185;03:20:30:21;3.654;148.08;24.673;619.2;39.893;0.148;0.671;82.968;5.771;0.207
186;03:21:00:21;3.644;146.52;24.868;632;39.893;0.145;0.67;82.964;5.771;0.204
187;03:21:30:21;3.641;145.68;24.994;629;39.844;0.145;0.669;82.965;5.77;0.209
188;03:22:00:21;3.649;146.16;24.965;609;39.886;0.15;0.671;82.969;5.771;0.208
189;03:22:30:21;3.648;147.12;24.797;630;39.929;0.145;0.67;82.927;5.771;0.208
190;03:23:00:21;3.641;145.2;25.075;632.4;39.893;0.144;0.669;83.071;5.77;0.208
191;03:23:30:21;3.612;147.36;24.51;636;39.801;0.143;0.664;82.97;5.767;0.206
192;04:00:00:21;3.607;148.2;24.341;624;39.789;0.145;0.663;82.975;5.765;0.206
193;04:00:30:22;3.612;145.56;24.815;645.333;39.832;0.141;0.664;83.003;5.764;0.207
194;04:01:00:22;3.599;145.92;24.664;616.941;39.777;0.147;0.661;83.015;5.767;0.205
195;04:01:30:22;3.591;147.48;24.348;637.6;39.838;0.141;0.66;82.977;5.766;0.201
196;04:02:00:22;3.604;146.4;24.615;600;39.746;0.151;0.662;82.918;5.766;0.205
197;04:02:30:22;3.595;145.56;24.698;600;39.758;0.151;0.661;82.968;5.767;0.204
198;04:03:00:22;3.608;144.24;25.013;650.769;39.832;0.139;0.663;83.004;5.769;0.203
199;04:03:30:22;3.606;145.56;24.771;654;39.813;0.138;0.663;82.971;5.765;0.203
200;04:04:00:22;3.596;146.28;24.581;660;39.722;0.137;0.661;83.049;5.765;0.201
201;04:04:30:22;3.614;146.04;24.749;607.5;39.746;0.15;0.664;82.962;5.769;0.202
202;04:05:00:22;3.608;146.52;24.622;641.143;39.844;0.141;0.663;82.958;5.77;0.202
203;04:05:30:22;3.609;146.28;24.674;638.182;39.85;0.142;0.663;82.965;5.766;0.202
204;04:06:00:22;3.596;148.2;24.264;615;39.813;0.147;0.661;82.92;5.771;0.203
205;04:06:30:23;3.61;148.2;24.357;625.333;39.838;0.145;0.663;83.017;5.771;0.202
206;04:07:00:23;3.614;146.28;24.708;628;39.844;0.144;0.664;83.074;5.771;0.201
207;04:07:30:23;3.611;146.16;24.705;633.231;39.832;0.143;0.664;83.018;5.772;0.204
208;04:08:00:23;3.604;145.56;24.761;622;39.862;0.145;0.662;82.909;5.77;0.201
209;04:08:30:23;3.61;144.96;24.903;634.286;39.789;0.143;0.663;83.006;5.769;0.2
210;04:09:00:23;3.601;147.36;24.439;636;39.807;0.142;0.662;83.1;5.771;0.202
211;04:09:30:23;3.598;146.52;24.553;636;39.862;0.142;0.661;83.06;5.772;0.201
212;04:10:00:23;3.607;147.72;24.415;598.08;39.813;0.151;0.663;82.889;5.772;0.202
213;04:10:30:23;3.601;146.28;24.618;632.8;39.832;0.143;0.662;82.972;5.771;0.201
214;04:11:00:23;3.595;145.68;24.68;598.957;39.789;0.151;0.661;82.964;5.773;0.202
215;04:11:30:23;3.59;147.12;24.399;626.182;39.844;0.144;0.66;82.947;5.771;0.203
216;04:12:00:24;3.601;147.48;24.42;642;39.832;0.141;0.662;82.974;5.771;0.203
217;04:12:30:24;3.61;146.52;24.635;628;39.789;0.144;0.663;82.972;5.77;0.204
218;04:13:00:24;3.607;145.2;24.839;646;39.819;0.14;0.663;82.973;5.773;0.206
219;04:13:30:24;3.586;146.76;24.435;612;39.795;0.147;0.659;82.978;5.77;0.201
220;04:14:00:24;3.587;145.68;24.619;604;39.819;0.149;0.659;82.964;5.774;0.205
221;04:14:30:24;3.601;146.16;24.639;611.077;39.74;0.148;0.662;82.891;5.77;0.205
222;04:15:00:24;3.603;145.32;24.794;642;39.728;0.141;0.662;82.875;5.774;0.207
223;04:15:30:24;3.595;146.64;24.513;660;39.783;0.137;0.661;82.915;5.773;0.207
224;04:16:00:24;3.59;146.04;24.585;633.333;39.795;0.142;0.66;82.969;5.772;0.208
225;04:16:30:24;3.596;146.16;24.603;654;39.789;0.138;0.661;82.968;5.77;0.207
226;04:17:00:25;3.585;146.16;24.529;632.571;39.795;0.142;0.659;82.845;5.774;0.208
227;04:17:30:25;3.581;145.92;24.544;630.857;39.752;0.143;0.658;82.963;5.773;0.207
228;04:18:00:25;3.596;147.36;24.406;639.429;39.709;0.142;0.661;82.974;5.773;0.208
229;04:18:30:25;3.581;146.28;24.481;626.25;39.74;0.144;0.658;82.997;5.774;0.207
230;04:19:00:25;3.568;146.88;24.29;628;39.734;0.143;0.656;83.014;5.773;0.208
231;04:19:30:25;3.573;145.32;24.588;615.429;39.758;0.146;0.657;82.964;5.771;0.207
232;04:20:00:25;3.555;148.08;24.01;633;39.74;0.141;0.653;82.97;5.77;0.207
233;04:20:30:25;3.558;145.08;24.525;622.667;39.74;0.144;0.654;82.995;5.771;0.207
234;04:21:00:25;3.56;145.44;24.479;628.8;39.716;0.143;0.654;82.936;5.772;0.208
235;04:21:30:25;3.555;144.6;24.587;633;39.697;0.141;0.653;82.966;5.769;0.205
236;04:22:00:25;3.545;146.04;24.277;599.2;39.679;0.149;0.651;82.973;5.771;0.206
237;04:22:30:25;3.54;146.16;24.219;633;39.734;0.141;0.65;83.044;5.766;0.204
238;04:23:00:25;3.529;144.96;24.345;624;39.63;0.143;0.648;82.976;5.766;0.204
239;04:23:30:26;3.517;145.92;24.104;610.5;39.594;0.145;0.646;82.968;5.766;0.207
240;05:00:00:26;3.518;144.96;24.272;597;39.618;0.149;0.646;82.97;5.769;0.202
241;05:00:30:26;3.498;144.96;24.132;626.4;39.612;0.141;0.643;83.03;5.768;0.203
242;05:01:00:26;3.5;143.76;24.345;633;39.606;0.14;0.643;82.976;5.768;0.201
243;05:01:30:26;3.499;143.76;24.339;540;39.581;0.164;0.643;83;5.764;0.2
244;05:02:00:26;3.497;144.84;24.146;624;39.563;0.142;0.643;82.969;5.769;0.2
245;05:02:30:26;3.518;144.72;24.306;634;39.551;0.14;0.646;82.972;5.766;0.2
246;05:03:00:26;3.507;144;24.353;624;39.594;0.142;0.644;82.972;5.765;0.197
247;05:03:30:26;3.496;143.88;24.3;638;39.575;0.138;0.642;82.963;5.768;0.199
248;05:04:00:26;3.495;144.12;24.247;636;39.526;0.139;0.642;83.011;5.769;0.201
249;05:04:30:26;3.492;144.84;24.11;672;39.52;0.131;0.642;82.968;5.766;0.199
250;05:05:00:26;3.505;145.2;24.142;606;39.636;0.146;0.644;82.962;5.766;0.198
251;05:05:30:26;3.488;144;24.225;660;39.6;0.133;0.641;82.963;5.771;0.201
252;05:06:00:26;3.496;143.88;24.3;654;39.624;0.135;0.642;82.965;5.769;0.198
253;05:06:30:26;3.495;144.48;24.187;636.667;39.532;0.139;0.642;82.972;5.769;0.201
254;05:07:00:26;3.477;145.8;23.846;624.8;39.508;0.141;0.639;83.037;5.768;0.199
255;05:07:30:26;3.482;142.8;24.381;627.2;39.514;0.14;0.64;82.969;5.77;0.199
256;05:08:00:26;3.484;143.4;24.296;611.368;39.514;0.144;0.64;83.018;5.768;0.198
257;05:08:30:26;3.483;144.6;24.088;672;39.581;0.131;0.64;82.969;5.77;0.198
258;05:09:00:26;3.48;143.52;24.245;+unendlich;39.539;0;0.639;82.975;5.768;0.198
259;05:09:30:27;3.473;144;24.115;642;39.6;0.137;0.638;82.997;5.771;0.199
260;05:10:00:27;3.475;144;24.133;636;39.581;0.138;0.639;82.872;5.771;0.199
261;05:10:30:27;3.476;143.52;24.22;636.8;39.563;0.138;0.639;82.976;5.773;0.197
262;05:11:00:27;3.478;143.88;24.172;599.2;39.606;0.147;0.639;83.051;5.771;0.199
263;05:11:30:27;3.482;143.16;24.319;636;39.594;0.138;0.64;82.841;5.77;0.198
264;05:12:00:27;3.478;145.2;23.954;637.412;39.551;0.138;0.639;82.962;5.772;0.197
265;05:12:30:27;3.481;143.28;24.292;640;39.569;0.137;0.64;82.956;5.773;0.2
266;05:13:00:27;3.467;143.64;24.139;621;39.514;0.141;0.637;82.968;5.769;0.197
267;05:13:30:28;3.463;143.64;24.108;640;39.52;0.137;0.636;82.962;5.773;0.196
268;05:14:00:28;3.453;143.16;24.116;624;39.459;0.14;0.635;82.911;5.769;0.197
269;05:14:30:28;3.454;143.16;24.129;632;39.49;0.138;0.635;82.995;5.771;0.196
270;05:15:00:28;3.482;144.96;24.024;630;39.539;0.14;0.64;82.971;5.769;0.2
271;05:15:30:28;3.464;144.48;23.974;645.6;39.551;0.136;0.637;83.006;5.772;0.199
272;05:16:00:28;3.452;141.48;24.397;598.957;39.447;0.146;0.634;82.965;5.771;0.197
273;05:16:30:28;3.467;143.64;24.139;598.857;39.49;0.147;0.637;83.016;5.771;0.197
274;05:17:00:28;3.45;144.96;23.799;633.818;39.496;0.138;0.634;82.958;5.771;0.199
275;05:17:30:28;3.447;142.08;24.261;640;39.447;0.137;0.633;82.967;5.772;0.199
276;05:18:00:28;3.437;142.8;24.067;642;39.423;0.136;0.632;82.963;5.771;0.199
277;05:18:30:28;3.441;143.16;24.037;636;39.453;0.137;0.632;82.975;5.77;0.2
